channel,developer,display_name,api_id,roles,protocol,thinking_field,efforts,mode,api_default_effort,ui_default,official_released,channel_listed,adapted,simulated,real_call,entitlement,reason,source,checked_at
openai,OpenAI,GPT-6 Sol,gpt-6-sol,main;vision,openai-responses,reasoning.effort,none;low;medium;high;xhigh;max,standard;pro,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://developers.openai.com/api/docs/models/gpt-6-sol,2026-09-23
openai,OpenAI,GPT-6 Luna,gpt-6-luna,main;vision,openai-responses,reasoning.effort,none;low;medium;high;xhigh;max,standard;pro,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://developers.openai.com/api/docs/models/gpt-6-luna,2026-09-23
anthropic,Anthropic,Claude Opus 5.5,claude-opus-5-5,main;vision,anthropic-messages,output_config.effort,low;medium;high;xhigh;max,,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://platform.claude.com/docs/en/models/opus-5-5/overview,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Luna Pro,openai/gpt-6-luna-pro,main;vision,openrouter-chat-completions,reasoning.effort,none;low;medium;high;xhigh;max,,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Luna,openai/gpt-6-luna,main;vision,openrouter-chat-completions,reasoning.effort,none;low;medium;high;xhigh;max,,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Sol Pro,openai/gpt-6-sol-pro,main;vision,openrouter-chat-completions,reasoning.effort,none;low;medium;high;xhigh;max,,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Sol,openai/gpt-6-sol,main;vision,openrouter-chat-completions,reasoning.effort,none;low;medium;high;xhigh;max,,medium,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,Anthropic,Anthropic: Claude Opus 5.5,anthropic/claude-opus-5.5,main;vision,openrouter-chat-completions,reasoning.effort,low;medium;high;xhigh;max,,high,omitted,yes (base model),yes,yes,pass,not_verified,not_verified,,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Luna Pro (batch),openai/gpt-6-luna-pro:batch,,,,,,,,yes (base model),yes,no,synchronous catalog exclusion passed,not_verified,not_verified,Batch workflow not implemented; hidden from synchronous roles,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Luna (batch),openai/gpt-6-luna:batch,,,,,,,,yes (base model),yes,no,synchronous catalog exclusion passed,not_verified,not_verified,Batch workflow not implemented; hidden from synchronous roles,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Sol Pro (batch),openai/gpt-6-sol-pro:batch,,,,,,,,yes (base model),yes,no,synchronous catalog exclusion passed,not_verified,not_verified,Batch workflow not implemented; hidden from synchronous roles,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,OpenAI,OpenAI: GPT-6 Sol (batch),openai/gpt-6-sol:batch,,,,,,,,yes (base model),yes,no,synchronous catalog exclusion passed,not_verified,not_verified,Batch workflow not implemented; hidden from synchronous roles,https://openrouter.ai/api/v1/models,2026-09-23
openrouter,Anthropic,Anthropic: Claude Opus 5.5 (batch),anthropic/claude-opus-5.5:batch,,,,,,,,yes (base model),yes,no,synchronous catalog exclusion passed,not_verified,not_verified,Batch workflow not implemented; hidden from synchronous roles,https://openrouter.ai/api/v1/models,2026-09-23
tokendance,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://tokendance.space/gateway/v1/models,2026-09-23
tokenhub,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://cloud.tencent.com/document/product/1823/130079,2026-09-23
siliconflow,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://www.siliconflow.cn/models,2026-09-23
together,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://docs.together.ai/docs/serverless/models,2026-09-23
fireworks,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://app.fireworks.ai/models,2026-09-23
fal,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://fal.ai/llms.txt,2026-09-23
replicate,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://replicate.com/collections/language-models,2026-09-23
runware,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://runware.ai/docs/models,2026-09-23
bailian,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://help.aliyun.com/zh/model-studio/models,2026-09-23
ark,OpenAI;Anthropic,待核实,,,,,,,,,yes (base models),unconfirmed,no,not_applicable,not_verified,not_verified,No sufficient candidate evidence in checked public sources; not a retirement finding,https://docs.volcengine.com/docs/82379/1330310,2026-09-23
