"渠道","展示名称","配置 ID（保留）","实际 API model ID / 调用标识","固定版本 / 滚动别名","已核对具体版本 / 目录身份","核对日期","核对依据","ID 证据","范围 / 可选状态","说明"
"观猹 TokenDance","DeepSeek V3 0324","deepseek-chat-v3-0324","deepseek-chat-v3-0324","固定性 / 对应版本待确认","待确认","2026-09-21","https://tokendance.space/models/deepseek-chat-v3-0324","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"观猹 TokenDance","DeepSeek-V3.2","deepseek-v3.2","deepseek-v3.2","固定性 / 对应版本待确认","DeepSeek V3.2","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","DeepSeek-V4-Flash Preview","deepseek-v4-flash","deepseek-v4-flash","固定性 / 对应版本待确认","DeepSeek V4 Flash Preview","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","DeepSeek-V4-Flash-0731","deepseek-v4-flash-0731","deepseek-v4-flash-0731","固定性 / 对应版本待确认","DeepSeek V4 Flash 0731","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","DeepSeek-V4-Flash-vision-exp","deepseek-v4-flash-vision-exp","deepseek-v4-flash-vision-exp","固定性 / 对应版本待确认","待确认","2026-09-21","https://tokendance.space/models/deepseek-v4-flash-vision-exp","unconfirmed","静态可选","本轮公开来源未能逐字确认此渠道 ID 或页面只返回外壳；保留原配置，版本待确认，不作为下架依据。"
"观猹 TokenDance","DeepSeek-V4-Pro Preview","deepseek-v4-pro","deepseek-v4-pro","固定性 / 对应版本待确认","DeepSeek V4 Pro Preview","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","DeepSeek-V4-Pro-0813","deepseek-v4-pro-0813","deepseek-v4-pro-0813","固定性 / 对应版本待确认","DeepSeek V4 Pro 0813","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","DeepSeek-V4.1-Flash","deepseek-v4.1-flash","deepseek-v4.1-flash","固定性 / 对应版本待确认","DeepSeek V4.1 Flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Dots3-Note Preview（Free）","dots-3-note-preview","dots-3-note-preview","固定性 / 对应版本待确认","Dots3-Note Preview（Free）","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 4.5 Air","glm-4.5-air","glm-4.5-air","固定性 / 对应版本待确认","GLM 4.5 Air","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 4.6V","glm-4.6v","glm-4.6v","固定性 / 对应版本待确认","GLM 4.6V","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 4.7","glm-4.7","glm-4.7","固定性 / 对应版本待确认","GLM 4.7","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 5","glm-5","glm-5","固定性 / 对应版本待确认","GLM 5","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 5.1","glm-5.1","glm-5.1","固定性 / 对应版本待确认","GLM 5.1","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
