channel,developer,officialModel,callId,officialStatus,retirement,roles,before,after,missing,decision,operationContract,imageLimit,mask,maskWithReferences,structured,sizes,publicPrice,region,authentication,recovery,verifiedAt,source,apiSource,schemaSha256
tokenhub,tencent,Hy4 preview,hy4-preview,preview,,main,尚未登记,适配链路已完成但真实调用未验证,真实账号权限、真实推理、账单与质量待确认；,按具体文本/视觉协议补齐；不自动替换同系列别名。,chat,"{""productVision"":0}",false,false,,{},"{""source"":""https://cloud.tencent.com/document/product/1823/130055"",""checkedAt"":""2026-09-22"",""amount"":null,""currency"":""CNY"",""unit"":""million tokens"",""market"":""Guangzhou online postpaid"",""accountTariffConfirmed"":false,""perMillionTokens"":{""currency"":""CNY"",""market"":""Guangzhou"",""input"":6,""output"":18,""cachedInput"":0.3}}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,https://cloud.tencent.com/document/product/1823/132252,
tokenhub,tencent,Hy3,hy3,stable,,main,适配链路已完成但真实调用未验证,适配链路已完成但真实调用未验证,真实账号权限、真实推理、账单与质量待确认；,按具体文本/视觉协议补齐；不自动替换同系列别名。,chat,"{""productVision"":0}",false,false,,{},"{""source"":""https://cloud.tencent.com/document/product/1823/130055"",""checkedAt"":""2026-09-22"",""amount"":null,""currency"":""CNY"",""unit"":""million tokens"",""market"":""Guangzhou online postpaid"",""accountTariffConfirmed"":false,""perMillionTokens"":{""currency"":""CNY"",""market"":""Guangzhou"",""input"":1,""output"":4,""cachedInput"":0.25}}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,https://cloud.tencent.com/document/product/1823/132252,
tokenhub,待确认,Hy-MT2-Pro,hy-mt2-pro,详见处理决定,,范围外/待确认,尚未登记,尚未登记,翻译专用，4K输出；不适合作为科研图主规划模型。,翻译专用，4K输出；不适合作为科研图主规划模型。,未接入,"{""productVision"":0}",false,false,,{},"{""status"":""待确认""}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,,
tokenhub,待确认,Hy-MT2-Plus,hy-mt2-plus,详见处理决定,,范围外/待确认,尚未登记,尚未登记,翻译专用，4K输出；不适合作为科研图主规划模型。,翻译专用，4K输出；不适合作为科研图主规划模型。,未接入,"{""productVision"":0}",false,false,,{},"{""status"":""待确认""}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,,
tokenhub,待确认,Hy-MT2-Lite,hy-mt2-lite,详见处理决定,,范围外/待确认,尚未登记,尚未登记,翻译专用，4K输出；不适合作为科研图主规划模型。,翻译专用，4K输出；不适合作为科研图主规划模型。,未接入,"{""productVision"":0}",false,false,,{},"{""status"":""待确认""}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,,
tokenhub,待确认,Hy-Role-Latest,hunyuan-role-latest,详见处理决定,,范围外/待确认,尚未登记,尚未登记,角色扮演/剧情专用，非科研规划用途。,角色扮演/剧情专用，非科研规划用途。,未接入,"{""productVision"":0}",false,false,,{},"{""status"":""待确认""}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,,
tokenhub,待确认,Hy-Role,hy-role,详见处理决定,,范围外/待确认,尚未登记,尚未登记,角色扮演/剧情专用，非科研规划用途。,角色扮演/剧情专用，非科研规划用途。,未接入,"{""productVision"":0}",false,false,,{},"{""status"":""待确认""}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,,
tokenhub,deepseek,DeepSeek-V4.1-Flash 原厂直供,deepseek/deepseek-flash,stable,,main / vision,尚未登记,适配链路已完成但真实调用未验证,真实账号权限、真实推理、账单与质量待确认；,按具体文本/视觉协议补齐；不自动替换同系列别名。,chat,"{""productVision"":3}",false,false,,{},"{""source"":""https://cloud.tencent.com/document/product/1823/130055"",""checkedAt"":""2026-09-22"",""amount"":null,""currency"":""CNY"",""unit"":""million tokens"",""market"":""Guangzhou online postpaid"",""accountTariffConfirmed"":false,""tiers"":[{""condition"":""北京时间工作日9–12/14–18"",""input"":2,""output"":8,""cachedInput"":0.04},{""condition"":""其余时段"",""input"":1,""output"":4,""cachedInput"":0.02}]}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,https://cloud.tencent.com/document/product/1823/132248,
tokenhub,deepseek,DeepSeek-V4-Flash 0731 正式版 原厂直供,deepseek-v4-flash-202605,stable,,main,尚未登记,适配链路已完成但真实调用未验证,真实账号权限、真实推理、账单与质量待确认；,按具体文本/视觉协议补齐；不自动替换同系列别名。,chat,"{""productVision"":0}",false,false,,{},"{""source"":""https://cloud.tencent.com/document/product/1823/130055"",""checkedAt"":""2026-09-22"",""amount"":null,""currency"":""CNY"",""unit"":""million tokens"",""market"":""Guangzhou online postpaid"",""accountTariffConfirmed"":false,""tiers"":[{""condition"":""北京时间工作日9–12/14–18"",""input"":2,""output"":8,""cachedInput"":0.04},{""condition"":""其余时段"",""input"":1,""output"":4,""cachedInput"":0.02}]}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,https://cloud.tencent.com/document/product/1823/132248,
tokenhub,deepseek,DeepSeek-V4-Flash 0731 正式版 原厂直供,deepseek/deepseek-v4-flash-0731,stable,,main,尚未登记,适配链路已完成但真实调用未验证,真实账号权限、真实推理、账单与质量待确认；,按具体文本/视觉协议补齐；不自动替换同系列别名。,chat,"{""productVision"":0}",false,false,,{},"{""source"":""https://cloud.tencent.com/document/product/1823/130055"",""checkedAt"":""2026-09-22"",""amount"":null,""currency"":""CNY"",""unit"":""million tokens"",""market"":""Guangzhou online postpaid"",""accountTariffConfirmed"":false,""tiers"":[{""condition"":""北京时间工作日9–12/14–18"",""input"":2,""output"":8,""cachedInput"":0.04},{""condition"":""其余时段"",""input"":1,""output"":4,""cachedInput"":0.02}]}",广州入口；新加坡独立密钥及型号目录待确认,Bearer API Key；账号权限未实测,同步结果未知停止；已保存 URL 仅重试下载,2026-09-22,https://cloud.tencent.com/document/product/1823/130051,https://cloud.tencent.com/document/product/1823/132248,
