API渠道,API ID,研发方,版本性质,地区,角色,协议,输入,输出,官方图数声明,产品图数,生命周期,接入决定,原因,官方来源
商汤 SenseNova,sensenova-6.8-flash-lite,SenseTime,unconfirmed,"[""cn""]",main/vision,openai-chat,text/image,text,,1,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,deepseek-v4-pro,DeepSeek,unconfirmed,"[""cn""]",main,openai-chat,text,text,0,0,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,deepseek-v4-flash,DeepSeek,unconfirmed,"[""cn""]",main,openai-chat,text,text,0,0,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,glm-5.2,Z.ai,unconfirmed,"[""cn""]",main,openai-chat,text,text,0,0,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,kimi-k3,Moonshot AI,unconfirmed,"[""cn""]",main/vision,openai-chat,text/image,text,,1,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,sensenova-u1.5-lite,SenseTime,unconfirmed,"[""cn""]",image-generation/image-editing,sensenova-images-json,text/image,image,5,5,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,sensenova-u1.5-fast,SenseTime,unconfirmed,"[""cn""]",image-generation/image-editing,sensenova-images-json,text/image,image,5,5,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.sensenova.cn/docs
商汤 SenseNova,SenseNova-V6.5-Pro,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/fusionllm/FusionLLMs
商汤 SenseNova,SenseNova-V6.5-Turbo,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/fusionllm/FusionLLMs
商汤 SenseNova,SenseNova-V6-Pro,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/fusionllm/FusionLLMs
商汤 SenseNova,SenseNova-V6-Turbo,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/fusionllm/FusionLLMs
商汤 SenseNova,SenseNova-V6-Reasoner,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/fusionllm/FusionLLMs
商汤 SenseNova,SenseChat-VisionV5.5,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/mllm
商汤 SenseNova,SenseChat-Character,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧平台专用角色扮演流程；新平台七型号目录未列入，开通和协议分离。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/llm/CharacterLLM
商汤 SenseNova,SenseChat-Character-Pro,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧平台专用角色扮演流程；新平台七型号目录未列入，开通和协议分离。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/llm/CharacterLLM
商汤 SenseNova,SenseChat-Character-Turbo,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧平台专用角色扮演流程；新平台七型号目录未列入，开通和协议分离。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/model/llm/CharacterLLM
商汤 SenseNova,SenseChat-5-1202,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,SenseChat-Turbo-1202,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,SenseChat-5,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,SenseChat-Turbo,,,null,null,,,,,,"{""status"": ""unknown"", ""retirementDate"": null}",未上架,旧 SenseCore 文档仍有记录，但新平台目录未列入；未核验旧账号和协议，不据缺席或旧页失败判定退役。,https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,SenseNova Omni / RTC,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,旧秒画文生图,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,旧秒画图生图,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
