auditList,provider,id,resolvedId,decision,roles,protocol,regions,imageGeneration,imageEditing,maxReferenceImages,providerMaxReferenceImages,resolutions,refineResolutions,aspectRatios,refineAspectRatios,expirationDate,earliestRetirementDate,reason,source
02-native,anthropic,claude-fable-5,claude-fable-5,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,anthropic,claude-opus-4-8,claude-opus-4-8,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,anthropic,claude-opus-4-7,claude-opus-4-7,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,anthropic,claude-opus-4-6,claude-opus-4-6,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,anthropic,claude-opus-4-5-20251101,claude-opus-4-5-20251101,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,anthropic,claude-sonnet-4-6,claude-sonnet-4-6,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,anthropic,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,added,main|vision,anthropic-messages,,False,False,3,,,,,,,,官方仍列为可用的旧版本；Messages 协议可沿用。,https://platform.claude.com/docs/en/models/overview
02-native,openai,gpt-5.1,gpt-5.1,added,main|vision,openai-chat-completions,,False,False,3,,,,,,,,仍有官方 API 模型页；按模型处理推理与采样参数。,https://developers.openai.com/api/docs/models
02-native,openai,gpt-5.2,gpt-5.2,added,main|vision,openai-chat-completions,,False,False,3,,,,,,,,仍有官方 API 模型页；按模型处理推理与采样参数。,https://developers.openai.com/api/docs/models
02-native,openai,gpt-4o,gpt-4o,added,main|vision,openai-chat-completions,,False,False,3,,,,,,,,仍有官方 API 模型页；按模型处理推理与采样参数。,https://developers.openai.com/api/docs/models
02-native,openai,gpt-4o-mini,gpt-4o-mini,added,main|vision,openai-chat-completions,,False,False,3,,,,,,,,仍有官方 API 模型页；按模型处理推理与采样参数。,https://developers.openai.com/api/docs/models
02-native,openai,gpt-5.2-pro,gpt-5.2-pro,added,main|vision,openai-responses,,False,False,3,,,,,,,,仅按 Responses 路由接入；Pro 需考虑较长请求耗时。,https://developers.openai.com/api/docs/models
02-native,openai,gpt-5.3-codex,gpt-5.3-codex,added,main|vision,openai-responses,,False,False,3,,,,,,,,仅按 Responses 路由接入；Pro 需考虑较长请求耗时。,https://developers.openai.com/api/docs/models
02-native,openai,chat-latest,chat-latest,added,main|vision,openai-chat-completions,,False,False,3,,,,,,,,属于官方滚动聊天入口；不宜作为科研复现的固定版本。,https://developers.openai.com/api/docs/models
