"checked_at","channel","api_model_id","role","protocol","status","parameters","values_or_budget_limits","defaults","operations","constraints","conflicts","notes","official_sources"
"2026-09-22","deepseek","deepseek-flash","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""none"",""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""high""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""inclusive"",""dropSamplingWhenThinking"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""],""disabledEffortValues"":[""none""]}","[]","[""只暴露规范档位；API schema 的 none 关闭思考，避免独立 mode/effort 相互冲突。兼容别名见 requestMappings。""]","https://api-docs.deepseek.com/api/create-chat-completion/ | https://api-docs.deepseek.com/guides/thinking_mode/ | https://api-docs.deepseek.com/quick_start/pricing"
"2026-09-22","deepseek","deepseek-flash","vision","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""none"",""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""high""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""inclusive"",""dropSamplingWhenThinking"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""],""disabledEffortValues"":[""none""]}","[]","[""只暴露规范档位；API schema 的 none 关闭思考，避免独立 mode/effort 相互冲突。兼容别名见 requestMappings。""]","https://api-docs.deepseek.com/api/create-chat-completion/ | https://api-docs.deepseek.com/guides/thinking_mode/ | https://api-docs.deepseek.com/quick_start/pricing"
"2026-09-22","deepseek","deepseek-v4-flash-vision-exp","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前静态目录已标记不可选；保留历史记录，未为其开放新控件。""]","https://api-docs.deepseek.com/api/create-chat-completion/"
"2026-09-22","deepseek","deepseek-v4-flash-vision-exp","vision","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前静态目录已标记不可选；保留历史记录，未为其开放新控件。""]","https://api-docs.deepseek.com/api/create-chat-completion/"
"2026-09-22","deepseek","deepseek-v4-pro","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""none"",""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""high""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""inclusive"",""dropSamplingWhenThinking"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""],""disabledEffortValues"":[""none""]}","[]","[""只暴露规范档位；API schema 的 none 关闭思考，避免独立 mode/effort 相互冲突。兼容别名见 requestMappings。""]","https://api-docs.deepseek.com/api/create-chat-completion/ | https://api-docs.deepseek.com/guides/thinking_mode/ | https://api-docs.deepseek.com/quick_start/pricing"
"2026-09-22","deepseek","deepseek-v4-flash","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前静态目录已标记不可选；保留历史记录，未为其开放新控件。""]","https://api-docs.deepseek.com/api/create-chat-completion/"
"2026-09-22","kimi","kimi-k3","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true,""omitSampling"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""]}","[]","[""K3 不接受 thinking 字段；默认强度 max。""]","https://platform.kimi.com/docs/api/models-overview | https://platform.kimi.com/docs/guide/use-reasoning-effort"
"2026-09-22","kimi","kimi-k3","vision","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true,""omitSampling"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""]}","[]","[""K3 不接受 thinking 字段；默认强度 max。""]","https://platform.kimi.com/docs/api/models-overview | https://platform.kimi.com/docs/guide/use-reasoning-effort"
"2026-09-22","kimi","kimi-k2.7-code","main","openai-chat-completions","fixed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""固定开启思考，不能把 enabled-only 声明变成可关开关；未确认 effort/budget。""]","https://platform.kimi.com/docs/api/models-overview"
"2026-09-22","kimi","kimi-k2.7-code","vision","openai-chat-completions","fixed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""固定开启思考，不能把 enabled-only 声明变成可关开关；未确认 effort/budget。""]","https://platform.kimi.com/docs/api/models-overview"
"2026-09-22","kimi","kimi-k2.7-code-highspeed","main","openai-chat-completions","fixed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""固定开启思考，不能把 enabled-only 声明变成可关开关；未确认 effort/budget。""]","https://platform.kimi.com/docs/api/models-overview"
"2026-09-22","kimi","kimi-k2.7-code-highspeed","vision","openai-chat-completions","fixed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""固定开启思考，不能把 enabled-only 声明变成可关开关；未确认 effort/budget。""]","https://platform.kimi.com/docs/api/models-overview"
"2026-09-22","kimi","kimi-k2.6","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""dropSamplingWhenThinking"":[""temperature"",""top_p""],""omitSampling"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""]}","[]","[""思考模式 temperature 固定 1，非思考 0.6，top_p 固定 0.95；推荐省略。""]","https://platform.kimi.com/docs/api/models-overview"
"2026-09-22","kimi","kimi-k2.6","vision","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""dropSamplingWhenThinking"":[""temperature"",""top_p""],""omitSampling"":[""temperature"",""top_p"",""presence_penalty"",""frequency_penalty""]}","[]","[""思考模式 temperature 固定 1，非思考 0.6，top_p 固定 0.95；推荐省略。""]","https://platform.kimi.com/docs/api/models-overview"
"2026-09-22","zhipu","glm-5.3","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true}","[]","[]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking | https://docs.bigmodel.cn/cn/guide/models/vlm/glm-5.3-flash.md"
"2026-09-22","zhipu","glm-5.3-flash","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true}","[]","[]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking | https://docs.bigmodel.cn/cn/guide/models/vlm/glm-5.3-flash.md"
"2026-09-22","zhipu","glm-5.3-flash","vision","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true}","[]","[]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking | https://docs.bigmodel.cn/cn/guide/models/vlm/glm-5.3-flash.md"
"2026-09-22","zhipu","glm-5.3-flashx","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true}","[]","[]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking | https://docs.bigmodel.cn/cn/guide/models/vlm/glm-5.3-flash.md"
"2026-09-22","zhipu","glm-5.3-flashx","vision","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""thinkingCannotDisable"":true}","[]","[]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking | https://docs.bigmodel.cn/cn/guide/models/vlm/glm-5.3-flash.md"
"2026-09-22","zhipu","glm-5.2","main","openai-chat-completions","supported","reasoning_effort","[{""key"":""effort"",""values"":[""none"",""minimal"",""low"",""medium"",""high"",""xhigh"",""max""]}]","[{""field"":""reasoning_effort"",""default"":""max""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""disabledEffortValues"":[""none"",""minimal""]}","[]","[]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-5.1","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-5","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-5-turbo","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.7","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
