"渠道","原展示名称","新展示名称","API ID（保持原样）","核对依据"
"观猹 TokenDance","DeepSeek V3.2","DeepSeek-V3.2","deepseek-v3.2","https://tokendance.space/gateway/v1/models"
"观猹 TokenDance","DeepSeek V4 Flash Preview","DeepSeek-V4-Flash Preview","deepseek-v4-flash","https://tokendance.space/gateway/v1/models"
"观猹 TokenDance","DeepSeek V4 Flash 0731","DeepSeek-V4-Flash-0731","deepseek-v4-flash-0731","https://tokendance.space/gateway/v1/models"
"观猹 TokenDance","DeepSeek V4 Flash Vision Exp","DeepSeek-V4-Flash-vision-exp","deepseek-v4-flash-vision-exp","https://tokendance.space/models/deepseek-v4-flash-vision-exp"
"观猹 TokenDance","DeepSeek V4 Pro Preview","DeepSeek-V4-Pro Preview","deepseek-v4-pro","https://tokendance.space/gateway/v1/models"
"观猹 TokenDance","DeepSeek V4 Pro 0813","DeepSeek-V4-Pro-0813","deepseek-v4-pro-0813","https://tokendance.space/gateway/v1/models"
"观猹 TokenDance","DeepSeek V4.1 Flash","DeepSeek-V4.1-Flash","deepseek-v4.1-flash","https://tokendance.space/gateway/v1/models"
"硅基流动","DeepSeek-V4-Flash","DeepSeek-V4-Flash（具体版本待确认）","deepseek-ai/DeepSeek-V4-Flash","https://www.siliconflow.cn/models"
"硅基流动","DeepSeek-V4-Pro","DeepSeek-V4-Pro（具体版本待确认）","deepseek-ai/DeepSeek-V4-Pro","https://www.siliconflow.cn/models"
"阿里云百炼","DeepSeek-v3","DeepSeek-V3","deepseek-v3","https://help.aliyun.com/zh/model-studio/model-pricing"
"阿里云百炼","DeepSeek-v3.1","DeepSeek-V3.1","deepseek-v3.1","https://help.aliyun.com/zh/model-studio/model-pricing"
"阿里云百炼","DeepSeek-v3.2","DeepSeek-V3.2","deepseek-v3.2","https://help.aliyun.com/zh/model-studio/deepseek-v4-1-flash"
"阿里云百炼","DeepSeek-v3.2-exp","DeepSeek-V3.2-exp","deepseek-v3.2-exp","https://help.aliyun.com/zh/model-studio/model-pricing"
"阿里云百炼","DeepSeek V4 Flash","DeepSeek-V4-Flash（具体版本待确认）","deepseek-v4-flash","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin"
"阿里云百炼","DeepSeek V4 Flash 0731","DeepSeek-V4-Flash-0731","deepseek-v4-flash-0731","https://help.aliyun.com/zh/model-studio/deepseek-v4-flash"
"阿里云百炼","DeepSeek V4 Pro","DeepSeek-V4-Pro（具体版本待确认）","deepseek-v4-pro","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin"
"阿里云百炼","DeepSeek V4 Pro 0813","DeepSeek-V4-Pro-0813","deepseek-v4-pro-0813","https://help.aliyun.com/zh/model-studio/deepseek-v4-pro"
"阿里云百炼","DeepSeek-v4.1-flash","DeepSeek-V4.1-Flash","deepseek-v4.1-flash","https://help.aliyun.com/zh/model-studio/deepseek-v4-1-flash"
"阿里云百炼","vanchin · deepseek-v4-pro","DeepSeek-V4-Pro · Vanchin（具体版本待确认）","vanchin/deepseek-v4-pro","https://help.aliyun.com/zh/model-studio/deepseek-api-by-vanchin"
"阿里云百炼","vanchin · deepseek-v4-pro-0813","DeepSeek-V4-Pro-0813 · Vanchin","vanchin/deepseek-v4-pro-0813","https://help.aliyun.com/zh/model-studio/deepseek-v4-pro-by-vanchin"
"火山方舟","DeepSeek-v4-1-flash-260910","DeepSeek-V4.1-Flash · 260910","deepseek-v4-1-flash-260910","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","DeepSeek V4 Flash","DeepSeek-V4-Flash-260425","deepseek-v4-flash-260425","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","DeepSeek V4 Flash GA","DeepSeek-V4-Flash-ga-260731","deepseek-v4-flash-ga-260731","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","DeepSeek V4 Pro","DeepSeek-V4-Pro-260425","deepseek-v4-pro-260425","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","DeepSeek V4 Pro GA","DeepSeek-V4-Pro GA · 260813","deepseek-v4-pro-ga-260813","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.0 Code Preview","Doubao Seed 2.0 Code Preview · 260215","doubao-seed-2-0-code-preview-260215","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
